price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_color,product_variation_inventory,shipping_option_price,countries_shipped_to,has_urgency_banner,merchant_rating_count,merchant_rating
16.0,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,0,0,0,white,50,4,34,1.0,568,4.128521126760563
8.0,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,0,green,50,2,41,1.0,17752,3.8996732762505633
8.0,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,0,0,0,leopard,1,3,36,1.0,295,3.989830508474576
8.0,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,0,0,0,black,50,2,41,0.0,23832,4.020434709634105
2.72,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,yellow,1,1,35,1.0,14482,4.001588178428394
3.92,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,blue,1,1,40,0.0,65,3.507692307692308
7.0,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,0,0,0,white,50,2,31,0.0,10194,4.076515597410241
12.0,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,0,0,0,blue,50,3,139,0.0,342,3.681286549707602
11.0,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,0,0,0,black,50,2,36,1.0,330,3.803030303030303
5.78,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,0,0,0,beige,50,2,33,0.0,5534,3.999819298879653
5.79,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,0,0,0,0,gray,2,2,25,1.0,9470,3.9568109820485744
6.0,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,0,0,0,0,blue,2,2,40,1.0,3515,3.983783783783784
1.91,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,0,0,0,0,orange,1,1,38,0.0,557,4.123877917414721
5.79,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,0,0,0,red,50,2,43,0.0,5083,3.9474719653747785
2.0,20000,1,3.65,2457,984.0,481.0,459.0,206.0,327.0,0,0,0,0,yellow,1,1,36,0.0,55499,4.138885385322258
11.0,1000,0,3.92,426,204.0,94.0,62.0,21.0,45.0,0,0,0,0,black,50,3,41,0.0,39381,4.066326401056347
11.0,10000,0,3.72,2058,840.0,435.0,386.0,158.0,239.0,0,0,0,0,red,50,2,34,0.0,6302,3.958425896540781
5.0,100000,1,3.83,17980,8290.0,3483.0,2951.0,1410.0,1846.0,0,0,0,0,white,50,1,41,1.0,139223,3.933581376640354
9.0,20000,0,3.82,5479,2456.0,1162.0,853.0,431.0,577.0,0,0,0,0,blue,50,3,43,0.0,22089,4.081624337905745
7.0,1000,0,3.67,214,87.0,36.0,49.0,17.0,25.0,0,0,0,0,red,7,2,41,1.0,3592,4.062360801781737
11.0,5000,0,3.84,1183,506.0,274.0,216.0,81.0,106.0,0,0,0,0,green,50,3,69,0.0,23609,4.256597060443052
5.0,20000,0,3.6,3552,1437.0,632.0,610.0,358.0,515.0,0,0,0,0,black,11,2,41,0.0,12913,3.981336637497096
11.0,1000,0,3.38,72,27.0,11.0,11.0,8.0,15.0,0,0,0,0,green,2,2,51,0.0,4516,4.231842338352524
7.0,5000,1,3.67,510,213.0,98.0,85.0,45.0,69.0,0,0,0,0,green,50,2,138,1.0,96838,4.264658501827795
5.71,1000,0,3.75,678,290.0,145.0,104.0,61.0,78.0,0,0,0,0,black,19,2,43,0.0,80093,4.006692220293909
9.0,1000,0,4.15,567,323.0,116.0,58.0,28.0,42.0,0,0,0,0,green,50,3,41,0.0,9395,4.1100585417775415
5.65,20000,0,4.29,2996,1781.0,628.0,374.0,104.0,109.0,1,0,1,0,white,50,2,43,1.0,40943,4.017487726839753
1.74,100,1,4.25,12,7.0,3.0,1.0,0.0,1.0,0,0,0,0,pink,50,1,41,0.0,18138,3.831513948616165
5.65,1000,0,4.06,301,156.0,70.0,34.0,18.0,23.0,0,0,0,0,white,50,2,54,0.0,7034,4.060278646573784
5.65,1000,1,4.37,217,137.0,42.0,24.0,9.0,5.0,1,0,1,0,black,10,2,38,0.0,44837,4.065905390637197
8.0,1000,0,3.81,443,215.0,76.0,65.0,29.0,58.0,0,0,0,0,brown,4,2,46,0.0,3460,3.8708092485549135
2.66,5000,0,3.44,1136,418.0,187.0,201.0,133.0,197.0,0,0,0,0,black,50,1,22,0.0,223392,4.3063628061882255
9.0,10000,0,3.8,1231,555.0,240.0,211.0,87.0,138.0,0,0,0,0,yellow,50,3,45,0.0,10600,3.8675471698113206
11.0,1000,0,4.16,274,162.0,47.0,34.0,10.0,21.0,1,0,1,0,white,50,3,31,0.0,13946,4.000143410296859
8.0,100,1,2.75,8,2.0,0.0,3.0,0.0,3.0,0,0,0,0,blue,50,3,40,0.0,47981,4.025364206665138
14.0,5000,1,4.06,643,365.0,109.0,73.0,33.0,63.0,0,0,0,0,blue,2,3,43,0.0,80093,4.006692220293909
5.8,100,1,3.83,6,3.0,1.0,1.0,0.0,1.0,0,0,0,0,green,1,1,43,0.0,16741,3.920852995639448
13.0,1000,0,4.16,138,82.0,27.0,10.0,7.0,12.0,1,0,1,0,pink,50,3,41,1.0,12913,3.981336637497096
9.0,50000,0,4.26,5359,3111.0,1172.0,650.0,204.0,222.0,1,0,1,0,black,50,3,40,0.0,59198,4.105054224804892
7.0,10,0,1.5,2,0.0,0.0,0.0,1.0,1.0,0,0,0,0,white,50,2,43,0.0,397,3.858942065491184
12.0,100,1,3.79,24,11.0,6.0,2.0,1.0,4.0,0,0,0,0,black,50,3,22,0.0,196,4.020408163265306
3.69,100,0,3.53,59,22.0,11.0,12.0,4.0,10.0,0,0,0,0,gray,2,1,24,1.0,10917,4.3648438215627
5.0,10000,1,3.82,3208,1467.0,607.0,558.0,241.0,335.0,1,1,0,0,white,50,1,63,1.0,27055,4.151395305858436
5.84,100,0,3.28,36,11.0,4.0,11.0,4.0,6.0,0,0,0,0,green,50,1,43,0.0,40943,4.017487726839753
16.0,10,0,3.0,3,0.0,2.0,0.0,0.0,1.0,0,0,0,0,green,2,4,34,0.0,31,3.548387096774193
13.0,1000,0,4.03,855,451.0,165.0,120.0,51.0,68.0,0,0,0,0,multicolor,50,3,32,0.0,9136,4.085704903677758
9.0,10000,0,3.18,1783,535.0,289.0,344.0,189.0,426.0,0,0,0,0,white,50,3,24,1.0,10474,3.908535421042582
7.0,100,0,3.8,61,28.0,11.0,12.0,2.0,8.0,0,0,0,0,black,50,2,45,1.0,139607,4.216385997836785
11.0,100,0,3.43,14,5.0,3.0,2.0,1.0,3.0,0,0,0,0,white,50,2,34,1.0,3120,4.174679487179487
5.84,1000,0,4.19,307,171.0,71.0,35.0,12.0,18.0,0,0,0,0,blue,1,1,40,0.0,10377,4.172785968969837
1.0,1000,1,3.8,5,3.0,0.0,1.0,0.0,1.0,0,0,0,0,blue,37,1,41,0.0,8197,3.858118823959985
11.0,1000,1,3.38,37,15.0,3.0,9.0,1.0,9.0,0,0,0,0,white,49,2,25,1.0,703,3.9601706970128014
9.0,5000,1,4.03,889,464.0,178.0,126.0,52.0,69.0,0,0,0,0,multicolor,50,3,33,0.0,16013,4.108849060138637
6.0,1000,1,3.5,938,349.0,171.0,173.0,88.0,157.0,0,0,0,0,red,1,2,28,0.0,13309,3.876699977458863
1.0,100,0,3.56,52,22.0,8.0,9.0,3.0,10.0,0,0,0,0,white,2,1,40,1.0,91631,3.83793694273772
9.0,5000,0,4.06,743,400.0,142.0,103.0,45.0,53.0,0,0,0,0,orange,50,3,41,1.0,20681,3.9993714037038823
6.0,100,0,4.0,8,5.0,0.0,1.0,2.0,0.0,0,0,0,0,multicolor,5,2,23,0.0,127,3.874015748031496
11.0,1000,0,4.13,211,120.0,37.0,31.0,8.0,15.0,0,0,0,0,red,50,2,40,0.0,11597,4.2152280762266106
7.0,50,0,4.0,4,3.0,0.0,0.0,0.0,1.0,0,0,0,0,blue,50,2,139,1.0,34,4.352941176470588
5.0,50,1,5.0,2,2.0,0.0,0.0,0.0,0.0,0,0,0,0,brown,17,1,33,0.0,9,3.6666666666666665
2.72,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,yellow,1,1,35,0.0,14482,4.001588178428394
5.87,1000,1,3.91,209,100.0,41.0,34.0,17.0,17.0,0,0,0,0,white,6,1,29,1.0,6187,4.391304347826087
11.0,5000,0,3.72,1008,447.0,201.0,135.0,81.0,144.0,0,0,0,0,white,50,2,25,0.0,61895,4.268002261895145
8.0,100,0,2.71,7,1.0,1.0,2.0,1.0,2.0,0,0,0,0,red,4,3,20,0.0,224,3.892857142857143
14.0,1000,0,3.81,187,84.0,40.0,28.0,14.0,21.0,0,0,0,0,blue,50,4,40,0.0,11900,4.150756302521009
2.0,100,0,3.47,32,11.0,6.0,5.0,7.0,3.0,0,0,0,0,white,1,1,40,0.0,4856,4.167627677100494
8.0,10000,1,3.93,1670,823.0,340.0,250.0,89.0,168.0,0,0,0,0,yellow,50,3,30,0.0,66644,4.137581777804454
5.79,1000,1,3.41,212,73.0,49.0,23.0,25.0,42.0,0,0,0,0,white,50,2,118,0.0,21012,4.189843898724538
8.0,100,1,3.74,47,24.0,5.0,6.0,6.0,6.0,0,0,0,0,red,50,3,41,0.0,50593,3.876761607336984
4.94,10000,1,3.93,1331,659.0,255.0,199.0,101.0,117.0,0,0,0,0,multicolor,6,1,49,0.0,55670,4.1214837434884135
8.0,10000,0,3.82,2520,1220.0,433.0,365.0,203.0,299.0,0,0,0,0,orange,50,3,14,1.0,8821,3.872009976193176
11.0,100,1,3.46,50,20.0,7.0,8.0,6.0,9.0,0,0,0,0,black,50,3,41,0.0,225438,4.301120485454981
8.0,10,0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,black,50,2,25,0.0,1496,4.169786096256685
9.0,50,1,4.5,4,2.0,2.0,0.0,0.0,0.0,0,0,0,0,white,50,3,41,0.0,8397,4.120281052756937
7.0,100,0,4.26,53,30.0,14.0,5.0,1.0,3.0,0,0,0,0,green,50,2,31,1.0,2055,3.837956204379562
11.0,10000,0,4.24,1045,644.0,183.0,114.0,38.0,66.0,0,0,0,0,purple,50,3,36,0.0,9200,4.289673913043479
8.0,100,0,3.56,16,6.0,5.0,0.0,2.0,3.0,0,0,0,0,yellow,50,2,55,0.0,7076,3.968061051441493
5.83,10000,1,4.22,2055,1162.0,488.0,212.0,83.0,110.0,0,0,0,0,floral,1,1,35,0.0,126370,4.14695734747171
8.0,1000,0,3.42,373,144.0,57.0,60.0,35.0,77.0,0,0,0,0,pink,50,2,63,0.0,1322,3.965204236006052
5.77,100,1,4.0,4,1.0,2.0,1.0,0.0,0.0,0,0,0,0,green,45,1,31,1.0,8996,3.915740329035127
5.9,10000,0,3.64,1933,867.0,298.0,299.0,151.0,318.0,0,0,0,0,gray,4,1,30,0.0,2366,3.951817413355875
6.0,100,0,3.08,13,4.0,2.0,2.0,1.0,4.0,0,0,0,0,red,50,2,43,0.0,2776,3.931195965417868
7.0,50000,1,4.41,17444,11548.0,3191.0,1632.0,507.0,566.0,1,0,1,0,green,2,2,35,0.0,126370,4.14695734747171
8.0,10000,1,3.7,1404,593.0,278.0,232.0,124.0,177.0,0,0,0,0,pink,1,2,48,0.0,4178,3.9375299186213497
12.0,1000,0,3.81,341,163.0,63.0,48.0,21.0,46.0,0,0,0,0,multicolor,50,3,13,0.0,2248,4.150355871886121
5.78,20000,1,4.0,3975,2054.0,774.0,576.0,242.0,329.0,0,0,0,0,pink,50,1,29,0.0,6555,4.184134248665141
12.0,5000,0,3.94,387,189.0,76.0,67.0,21.0,34.0,0,0,0,0,white,50,3,43,0.0,1288,3.978260869565217
11.0,20000,1,4.07,3070,1635.0,642.0,392.0,177.0,224.0,0,0,0,0,floral,50,2,35,0.0,12974,3.965700632033297
8.0,100,0,4.29,31,19.0,5.0,5.0,1.0,1.0,1,0,1,0,pink,50,2,43,0.0,5846,3.832535066712282
11.0,100,1,3.46,50,20.0,7.0,8.0,6.0,9.0,0,0,0,0,black,50,3,41,1.0,225438,4.301120485454981
5.77,100000,0,4.1,20744,11184.0,4152.0,2919.0,1174.0,1315.0,0,0,0,0,black,50,2,46,0.0,330405,4.06734764909732
9.0,20000,0,3.7,3820,1726.0,654.0,568.0,324.0,548.0,0,0,0,0,gray,44,3,20,0.0,15748,4.064643129286258
1.72,100,1,3.77,30,15.0,3.0,5.0,4.0,3.0,0,0,0,0,green,10,1,48,0.0,32168,3.884543645859239
1.86,100,1,3.57,42,17.0,9.0,4.0,5.0,7.0,0,0,0,0,pink,2,1,40,1.0,7248,3.9430187637969096
14.0,100,1,4.54,13,10.0,2.0,0.0,0.0,1.0,0,0,0,0,black,50,3,36,0.0,54,4.185185185185185
3.69,1000,0,3.64,212,95.0,33.0,32.0,16.0,36.0,0,0,0,0,red,5,1,24,0.0,1559,4.039127645926876
5.79,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,0,0,0,red,50,2,43,1.0,5083,3.9474719653747785
11.0,100,1,4.11,28,17.0,4.0,3.0,1.0,3.0,2,1,0,1,multicolor,2,3,45,0.0,9541,4.210460119484331
9.0,100,1,3.18,72,17.0,19.0,12.0,8.0,16.0,0,0,0,0,red,10,3,26,0.0,288,3.7291666666666665
6.0,10000,0,3.96,1338,685.0,257.0,187.0,72.0,137.0,0,0,0,0,black,50,2,43,0.0,54504,3.80168428005284
20.0,100,1,2.8,15,2.0,3.0,5.0,0.0,5.0,0,0,0,0,green,50,6,36,0.0,67,3.298507462686567
5.66,5000,0,3.89,1161,558.0,242.0,159.0,75.0,127.0,0,0,0,0,black,50,2,42,1.0,99283,4.285597735765438
8.0,100,0,3.97,29,18.0,1.0,5.0,1.0,4.0,0,0,0,0,white,1,2,33,0.0,239,3.882845188284519
8.0,1000,1,3.61,668,254.0,155.0,102.0,61.0,96.0,0,0,0,0,yellow,10,2,39,0.0,40616,4.098557218830018
6.0,1000,1,3.82,134,62.0,26.0,23.0,6.0,17.0,0,0,0,0,gray,1,2,35,0.0,670,3.844776119402985
11.0,5000,0,3.96,1556,743.0,338.0,258.0,110.0,107.0,0,0,0,0,black,50,3,23,0.0,4610,4.252711496746204
7.0,1000,1,4.2,107,66.0,13.0,18.0,3.0,7.0,0,0,0,0,white,3,2,26,0.0,247,3.94331983805668
11.0,10000,0,3.77,1694,725.0,376.0,272.0,112.0,209.0,0,0,0,0,red,50,3,31,0.0,13946,4.000143410296859
5.8100000000000005,100,0,2.61,18,3.0,2.0,5.0,1.0,7.0,0,0,0,0,green,3,2,41,1.0,26473,3.8947606995807047
14.0,10000,0,3.93,2946,1427.0,614.0,452.0,180.0,273.0,0,0,0,0,blue,36,4,26,1.0,32858,3.88553776857995
5.0,10,0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,black,1,1,36,0.0,295,3.989830508474576
5.0,100,1,4.3,10,6.0,2.0,1.0,1.0,0.0,0,0,0,0,black,3,2,22,0.0,10799,4.167978516529308
11.0,1000,0,4.12,249,143.0,48.0,24.0,12.0,22.0,0,0,0,0,multicolor,50,2,21,0.0,8989,3.851930136833908
12.0,10,0,3.67,3,2.0,0.0,0.0,0.0,1.0,0,0,0,0,pink,20,3,32,0.0,238,4.008403361344538
5.68,10,0,4.5,2,1.0,1.0,0.0,0.0,0.0,0,0,0,0,purple,50,2,109,0.0,160,4.5125
11.0,100,1,4.0,12,7.0,1.0,2.0,1.0,1.0,0,0,0,0,black,50,2,32,0.0,546,4.014652014652015
